epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1600.2,0.71407,0.50995,1.03389,0.94626,0.76082,0.84882,0.56082,1.18274,0.66454,1.35105,0.000390023,0.000390023,0.000390023
57,1628.31,0.69176,0.4954,1.02443,0.90128,0.7922,0.85688,0.58096,1.13196,0.62744,1.31818,0.000384132,0.000384132,0.000384132
58,1656.75,0.69627,0.49619,1.02373,0.93338,0.77272,0.84785,0.57423,1.17234,0.6452,1.32763,0.000378242,0.000378242,0.000378242
59,1684.96,0.69625,0.49798,1.02192,0.91108,0.78693,0.85114,0.57031,1.19521,0.65141,1.36112,0.000372351,0.000372351,0.000372351
60,1713.21,0.69354,0.49543,1.02201,0.91284,0.80194,0.8581,0.58166,1.13325,0.63228,1.28929,0.00036646,0.00036646,0.00036646
61,1741.53,0.68523,0.48737,1.01986,0.90688,0.7931,0.85346,0.56693,1.17605,0.64297,1.34194,0.00036057,0.00036057,0.00036057
62,1769.82,0.67049,0.48455,1.01469,0.91167,0.79022,0.86025,0.58882,1.11121,0.61054,1.29564,0.00035468,0.00035468,0.00035468
63,1798.39,0.67672,0.48436,1.00918,0.93368,0.77864,0.84466,0.57308,1.16181,0.64216,1.34245,0.000348789,0.000348789,0.000348789
64,1826.36,0.66757,0.47472,1.00756,0.89,0.79868,0.85038,0.58162,1.12673,0.63548,1.30651,0.000342899,0.000342899,0.000342899
65,1854.48,0.66301,0.46895,1.00514,0.94914,0.78097,0.86498,0.55686,1.18206,0.61784,1.36072,0.000337008,0.000337008,0.000337008
66,1883.1,0.66615,0.4703,1.00572,0.91268,0.80388,0.85817,0.60575,1.06202,0.59222,1.2503,0.000331118,0.000331118,0.000331118
67,1911.54,0.65075,0.46296,1.00013,0.94771,0.779,0.86034,0.59373,1.10791,0.61766,1.29936,0.000325227,0.000325227,0.000325227
68,1940.33,0.65819,0.46141,1.00285,0.9368,0.79903,0.85723,0.60229,1.10194,0.60194,1.28223,0.000319336,0.000319336,0.000319336
69,1968.21,0.64637,0.45007,0.99345,0.90795,0.80693,0.87048,0.5857,1.16837,0.58579,1.33076,0.000313446,0.000313446,0.000313446
70,1996.57,0.63342,0.44352,0.98758,0.93083,0.77044,0.85083,0.58788,1.13147,0.61299,1.29985,0.000307555,0.000307555,0.000307555
71,2025.45,0.64557,0.44848,0.99174,0.91113,0.81543,0.86858,0.5937,1.10963,0.57828,1.28906,0.000301665,0.000301665,0.000301665
72,2053.78,0.63331,0.44665,0.99429,0.93746,0.80028,0.86582,0.60582,1.07301,0.59768,1.28275,0.000295775,0.000295775,0.000295775
73,2082.07,0.62856,0.43998,0.98911,0.9105,0.80866,0.86093,0.58675,1.12524,0.59509,1.33061,0.000289884,0.000289884,0.000289884
74,2110.53,0.63042,0.43307,0.98004,0.93402,0.79527,0.86499,0.60524,1.08663,0.57871,1.28841,0.000283994,0.000283994,0.000283994
75,2139.03,0.63065,0.43745,0.98297,0.9211,0.80299,0.86391,0.60709,1.06718,0.57112,1.26857,0.000278103,0.000278103,0.000278103
76,2167.58,0.62129,0.43337,0.98388,0.93466,0.80181,0.86323,0.58873,1.10287,0.57998,1.32827,0.000272212,0.000272212,0.000272212
77,2196.23,0.61363,0.42814,0.97923,0.93465,0.7979,0.86838,0.60298,1.08916,0.57729,1.29032,0.000266322,0.000266322,0.000266322
78,2224.88,0.60732,0.4241,0.9746,0.94677,0.79518,0.86498,0.59907,1.09421,0.60028,1.29785,0.000260431,0.000260431,0.000260431
79,2252.59,0.60429,0.41921,0.97081,0.93457,0.80129,0.87492,0.59805,1.10976,0.5723,1.31863,0.000254541,0.000254541,0.000254541
80,2280.89,0.61133,0.42589,0.97588,0.94131,0.8023,0.86976,0.60003,1.07895,0.55818,1.30349,0.000248651,0.000248651,0.000248651
81,2309.97,0.59584,0.41483,0.97054,0.92243,0.80729,0.86834,0.61508,1.059,0.5617,1.27147,0.00024276,0.00024276,0.00024276
82,2337.96,0.59882,0.41662,0.97235,0.94826,0.79419,0.86974,0.60438,1.08468,0.56008,1.29292,0.000236869,0.000236869,0.000236869
83,2367.05,0.59326,0.40724,0.96397,0.95583,0.79327,0.87135,0.6163,1.05889,0.54454,1.26772,0.000230979,0.000230979,0.000230979
84,2395.57,0.59145,0.41306,0.96965,0.95269,0.79668,0.87668,0.61248,1.06406,0.56029,1.29296,0.000225089,0.000225089,0.000225089
85,2424.17,0.58123,0.40383,0.9625,0.94241,0.79844,0.87319,0.60457,1.09205,0.57946,1.30835,0.000219198,0.000219198,0.000219198
86,2452.59,0.57789,0.40166,0.9622,0.93948,0.79777,0.87573,0.59953,1.12007,0.57389,1.33505,0.000213307,0.000213307,0.000213307
